Loveless,United Arab Emirates,Asia
Let's Do It,Poland,Europe
Gears of Destruction,Russia,Europe
Team DileCom,Peru,South America
Team Liquid,Netherlands,Europe
FDL,USA,North America
Resurgence,Singapore,Asia
Team FanTuan,China,Asia
Scratch the Surface,Iraq,Asia
J.Storm,USA,North America
Cloud9,USA,North America
Thunderbirds,USA,North America
HAPPY GUYS,,Europe
MidOrFeed,,Europe
Team OD,,Europe
Mineski,Philippines,Asia
paiN X,Brazil,South America
Sweden,Sweden,Europe
Prodota Gaming,,Europe
Team VGJ,China,Asia
Kaipi,,Europe
Danish Bears,Denmark,Europe
Bravado Gaming,South Africa,Africa
compLexity Gaming,USA,North America
PiTER,Russia,Europe
4Hate,Singapore,Asia
Union Gaming BO,Bolivia,Europe
Wombat Gaming,Germany,Europe
Team Serenity,China,Asia
No Logic Gaming,,Europe
Moogle,Singapore,Asia
Newbee,China,Asia
Intelligence Quotient,Cambodia,Asia
Art of Execution,Syria,Asia
Da Teletubbies,Australia,Australia
Denmark,Denmark,Europe
Monkey Freedom Fighters,,Europe
Orcus,Jordan,Asia
United We Stand,Malaysia,Asia
HappyFeet,Philippines,Asia
Rock.Y,China,Asia
FlyToMoon,Russia,Europe
Signify,India,Asia
Entity Gaming,India,Asia
We Are Young,China,Asia
NecroRaisers,Czech Republic,Europe
ANIMA.APACHE,Russia,Asia
ROOT Gaming,USA,North America
Top Team,Russia,Europe
Zero Hoots Given,Germany,Europe
Excellent!,France,Europe
Immortals,South Korea,Asia
URUK-HIGH,,Europe
Team Admiral,Philippines,Asia
Gersenz,Mongolia,Asia
Void Boys,USA,North America
CDEC Avenger,China,Asia
United Kingdom,United Kingdom,Europe
Ten Twenty,Singapore,Asia
4 Clover & Lepricon,,Europe
STARK,Germany,Europe
Team Redemption,Malaysia,Asia
Wings Gaming,China,Asia
EHOME.Keen,China,Asia
Newbee Young,China,Asia
Team Lithium,,Europe
Young Minds,Philippines,Asia
Team FIRE,USA,North America
Avalon Club,China,Asia
WU TANG,,Europe
HellRaisers,,Europe
Clutch Gamers,Philippines,Asia
Fantastic Five,Russia,Europe
Newteam123123,Russia,Europe
Serbia,Serbia,Europe
5eva,Singapore,Asia
Raze,Tunisia,Africa
Kings,Iraq,Asia
ScaryFaceZ,Ukraine,Europe
iClen,Australia,Australia
Team 5ive,Malaysia,Asia
Train your Brain,Tunisia,Africa
MAX.X,China,Asia
Digital Chaos,USA,North America
Team MAX,China,Asia
woof,Netherlands,Europe
We Say NO!,Sri Lanka, Asia
Execration,Philippines,Asia
Psuedo Gaming,Jordan,Asia
No Diggity,,Europe
Dream Gaming,China,Asia
Vanguards,Iran,Asia
Midas Club Elite,Brazil,South America
Can't Say Wips,Australia,Australia
EVOS Esports,Indonesia,Asia
TNC Predator,Philippines,Asia
Quid Pro Quo,Philippines,Asia
FATE eSports,Jordan,Asia
White Rabbit Gaming,South Africa,Africa
Royal Never Give Up,China,Asia
Team Spirit,Russia,Europe
LGD Gaming,China,Asia
Germany,Germany,Europe
Royal Bandits,Turkey,Asia
TongFu,China,Asia
Victory O Lord,China,Asia
Underdogs,Russia,Europe
T Show,Brazil,South America
Ultima_Thule,Russia,Europe
Burden United,,Europe
F.R.I.E.N.D.S.,Russia,Europe
Rex Regum QEON,Indonesia,Asia
Newbee.M,China,Asia
paiN Gaming,Brazil,South America
Ad Finem,Greece,Europe
Finland,Finland,Europe
Butterfly Effect,Spain,Europe
PRIES,,Europe
Team Malaysia,Malaysia,Asia
Gambit Esports,Russa,Europe
Team X-BET,,Europe
MOL,Mongolia,Asia
Hashtag?.DOTA,Thailand,Asia
Longwan,China,Asia
Elements One,Russia,Europe
SFTe-sports,Russa,Europe
Keen Gaming,China,Asia
BendOver,Egypt,Africa
White Fries Gaming,Malaysia,Asia
NA Rejects,USA,North America
Insane Buster,China,Asia
SG e-sports,Brazil,South America
Natus Vincere,Ukraine,Europe
Next Generation,Vietnam,Asia
Vega Squadron,,Europe
Five Libyans,Libya,Africa
Life Breake,Russia,Europe
Team Dogs Dota,Jordan,Asia
Team Tangos,Sweden,Europe
VINCE TE IPSUM,Brazil,South America
CIS Rejects,Russia,Europe
MVP HOT6ix,South Korea,Asia
Elite Wolves,Peru,South America
Russia,Russia,Europe
TPB,Russia,Europe
VGJ.Thunder,China,Asia
Team Aster,China,Asia
For The Dream,China,Asia
Team eHug,USA,North America
Peru,Peru,South America
Elements Pro,Serbia,Europe
CDEC Youth,China,Asia
Team Faceless,Singapore,Asia
Rebirth eSports,Chile,South America
KSY,Australia,Australia
Power Gaming,Malaysia,Asia
Hippomaniacs,Czech Republic,Europe
Without Problems,Russia,Europe
MVP Aegis,South Korea,Asia
Evil Geniuses,USA,North America
G Guard Esports,Malaysia,Asia
Infamous,Peru,South America
Baskonia eSports,Spain,Europe
BPlease 420,Morocco,Africa
Odium,Ukraine,Europe
Tigers,Russia,Europe
Smash,Saudi Arabia,Asia
OpTic Gaming,USA,North America
AntiHype,Russia,Europe
2K Players,United Arab Emirates,Asia
Team Flash,Malaysia,Asia
LaFlamme,Russia,Europe
Power Rangers,Belarus,Europe
Slayers,Singapore,Asia
Josskie,Russia,Europe
ROOONS,Canada,North America
madjor atendari,Bulgaria,Europe
Brave Heart,China,Asia
Geek Fam,Malaysia,Asia
Rock,China,Asia
HOMETE,South Korea,Asia
KnownFor,Egypt,Africa
Team Leviathan,USA,North America
PSG.LGD,China,Asia
DeToNator,Philippines,Asia
818 Esports,Malaysia,Asia
Alliance,Sweden,Europe
Vici Gaming Reborn,China,Asia
Fire Dragoon,Malaysia,Asia
Team Secret,,Europe
Gremory Household,Saudi Arabia,Asia
Wheel Whreck,USA,North America
FTD club C,China,Asia
Basically Unknown,Sweden,Europe
ANT E-Sports,Turkey,Asia
Forward Gaming,USA,North America
NoFear,,
Big and Black,Australia,Australia
TNC Pro Team,Philippines,Asia
Team Archon,USA,North America
Team Hellas,Greece,Europe
Nemiga Gaming,Belarus,Europe
CDEC Gaming,China,Asia
4 Anchors + SC,Finland,Europe
Natural 9,Australia,Australia
Doteri dva,Russia,Europe
MOBILE GIRL,Malaysia,Asia
Golden Boys,Peru,South America
UAshki,Ukraine,Europe
Zeta Pegasi,Norway,Europe
Orange.Taring,Malaysia,Asia
XENEX Gaming,United Kingdom,Europe
VGJ.Storm,USA,North America
Team NP,USA,North America
NoLifer5.Reborn,Kyrgyzstan,Asia
Netherlands,Netherlands,Europe
YAROST TOPORA,Russia,Europe
Team Random,China,Asia
Mad Dogs Team,Russia,Europe
LVLUP,,Europe
Team Lebanon,Lebanon,Asia
Not Today,Peru,South America
MAX.Y,China,Asia
Kingao+4,Brazil,South America
Virtus.pro,Russia,Europe
Lemondogs,Sweden,Europe
Mamas Boys,,Europe
DVK,Russia,Europe
No Biggie,Sweden,Europe
Team Nation,Australia,Australia
Invictus Gaming,China,Asia
Team SatuDuaTiga,Malaysia,Asia
Noobies in Team,Morocco,Asia
InfinityVN,Vietnam,Asia
Team Kazakhstan,Kazakhstan,Asia
Electrify,Singapore,Asia
Comanche,Russia,Europe
Fnatic,Malaysia,Asia
Rave,Philippines,Asia
Bracerking,Malaysia,Asia
Game of Throwz,Kuwait,Asia
Hollow,Russia,Europe
Invasion e-Sports,Malaysia,Asia
EHOME.Luminous,China,Asia
NiceOne,Kazakhstan,Asia
Team Unknown,Peru,South America
Ne RusЬ,Ukraine,Europe
Unchained Esports,,Europe
Team Albatross,Poland,Europe
The Imperial,Denmark,Europe
Team YP,USA,North America
Planet Dog,,Europe
Winstrike Team,Russia,Europe
MVP Phoenix,South Korea,Asia
Balkan Bears,,Europe
Vici Gaming Potential,China,Asia
Romania,Romania,Europe
Terror Blade !!,China,Asia
